source_run_id,batch,scenario_id,category,model_name,original_deterministic_grade,plus_one_pp_secondary_category,gt100_field_count,gt1000_field_count,total_numeric_fields,max_rel_error,median_rel_error_for_gt100_fields,affected_fields,primary_failure_patterns,mixed_patterns_present,non_numeric_failures_present,extraction_or_format_failure_present,conceptual_failure_present,candidate_gate_suggestions,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,roscoe_reasoning_alignment
0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,HARD_FAIL,2,2,3,41536.3180706,41536.3180234,f_gw_hz;f_orbital_hz,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.5839628577232361,0.7636363636363636,0.8521111872123373,0.8734539151191711
09da2552-f5c9-4b6d-a531-830e1a95ff6b,V5,CM_TOP_001,Classical Mechanics,Llama 3.1 8B Instruct,FAIL,HARD_FAIL,1,1,3,653.273337189,653.273337189,precession_period_s,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.879555881023407,0.9111111111111111,0.9264300973872369,0.965003490447998
0a1bfb8e-7794-43ce-a724-e54da756c20b,V2,SR_ROCKET_001,Special Relativity,Gemma 3 12B IT,FAIL,HARD_FAIL,2,2,3,16348.9611146,8525.27305253,distance_ly;lab_time_yr,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.4084946811199188,0.7389162561576355,0.8019893793376669,0.8695898652076721
0ada0fb0-29cc-4f10-b31a-705df74e52ae,V3,GR_GPS_001,General Relativity,Gemma 3 12B IT,FAIL,HARD_FAIL,3,2,3,12.9457909188,10.8986951222,grav_shift_us_day;net_shift_us_day;velocity_shift_us_day,ORDER_OF_MAGNITUDE_GT10X;SIGN_FLIP,true,false,false,false,ORDER_OF_MAGNITUDE_GATE;SIGN_FLIP_GATE,0.606954038143158,0.7204968944099379,0.5433495849735764,0.9509064555168152
0ed2217a-06ad-4917-b517-25fdcad0cab9,V3,QFT_CASIMIR_001,Quantum Field Theory,Llama 3.1 8B Instruct,FAIL,HARD_FAIL,2,2,3,5290.79316719,2909.48636406,pressure_double_d_pa;pressure_pa,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.40535151958465576,0.6068515497553019,0.5208812108070093,0.9294244050979614
0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,HARD_FAIL,1,0,3,1.87645109856,1.87645109856,distance_ly,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,false,false,false,false,,0.9275230169296265,0.9453781512605043,0.941856856738825,0.9635186195373535
12ba6901-ab09-4608-812d-243a3ba8cb47,V2,GR_ISCO_001,General Relativity,Llama 3.1 8B Instruct,FAIL,HARD_FAIL,1,1,3,19994.4339998,19994.4339998,r_isco_km,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.07304166257381439,0.32209737827715357,0.4522544782896129,0.7904766201972961
13d804f3-30ad-428a-ad9d-7f48deb28505,V4,COS_DESITTER_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,HARD_FAIL,1,0,3,2.0821325275,2.0821325275,horizon_gpc,COMMON_FACTOR_2_OR_PI,false,false,false,false,,0.9080313444137573,0.9387755102040817,0.9226676326597103,0.9552719593048096
188bc4ef-e984-49f4-b584-bd3a99572a45,V3,STAT_BEC_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,HARD_FAIL,2,2,4,18.3512413407,18.3356073184,tc_nK;tc_no_zeta_nK,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.6669195294380188,0.8049113233287858,0.8448717745429701,0.9064953923225403
1af000e0-80c0-45b3-9f95-f707072fdac3,V3,QFT_CASIMIR_001,Quantum Field Theory,Mistral Small 3.2 24B Instruct,FAIL,HARD_FAIL,1,1,3,149.447072397,149.447072397,energy_per_area_uJ_m2,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,ORDER_OF_MAGNITUDE_GATE,0.48536425828933716,0.6413223140495867,0.5367014543787534,0.9433456659317017
