scenario_id,category,row_count,pass_count,fail_count,mean_bert_f1,median_bert_f1,min_bert_f1,max_bert_f1,PASS_mean_bert_f1,FAIL_mean_bert_f1,PASS_minus_FAIL_mean_gap,simple_effect_size
CM_APSIDAL_001,Classical Mechanics,8,3,5,0.6997186141088605,0.8490349054336548,-0.08287616819143295,0.9406479597091675,0.5856583838661512,0.768154752254486,-0.18249636838833483,-0.5129579781561476
CM_FOUCAULT_001,Classical Mechanics,8,7,1,0.6329908203333616,0.8276838064193726,0.06529010832309723,0.9298210740089417,0.6070704353707177,0.8144335150718689,-0.2073630797011512,-0.8759219619188873
CM_KAPITZA_001,Classical Mechanics,8,1,7,0.6233766479417682,0.8065724968910217,-0.06008379906415939,0.887634813785553,0.6335453987121582,0.6219239692602839,0.011621429451874277,0.04608250846845705
CM_TOP_001,Classical Mechanics,8,6,2,0.7457392793148756,0.8926668465137482,-0.19409604370594025,0.9409145712852478,0.700140414138635,0.8825358748435974,-0.18239546070496238,-0.6325935478978583
COS_AGE_001,Cosmology,8,1,7,0.633321556262672,0.8237767815589905,-0.20672689378261566,0.9354469180107117,0.9354469180107117,0.5901607902986663,0.34528612771204537,1.1711367019822791
COS_CMB_001,Cosmology,8,5,3,0.6894352771341801,0.8550863265991211,-0.07554593682289124,0.9269124269485474,0.5667007029056549,0.8939929008483887,-0.3272921979427338,-1.2489686694964275
COS_DESITTER_001,Cosmology,8,1,7,0.29458913300186396,0.2763068601489067,-0.29742735624313354,0.9080313444137573,-0.06891496479511261,0.3465182898300035,-0.4154332546251161,-1.2132148498992499
COS_DL_001,Cosmology,8,5,3,0.6752791842445731,0.8350248038768768,-0.0947883203625679,0.9189373254776001,0.6794299349188805,0.6683612664540609,0.011068668464819575,0.0358579264222792
GR_CHIRP_001,General Relativity,8,0,8,0.5058704314287752,0.6895065307617188,-0.13571414351463318,0.9213840365409851,,0.5058704314287752,,
GR_GPS_001,General Relativity,8,0,8,0.2799537852406502,0.27955489605665207,-0.16375485062599182,0.6212500333786011,,0.2799537852406502,,
