scenario_id,model_name,prompt_mode,raw_helper_status,first_layer_extractable,review_status,review_reason,final_answer_block_count,field_count,numeric_field_count,output_path_or_run_id
CM_FOUCAULT_001,Gemma 3 12B IT,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,683d993d-776a-4d0a-8d7b-5f3955ff7ec2
CM_FOUCAULT_001,Gemma 3 27B IT,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,b77ca7e5-2054-47cf-8b2a-f0522502ecbe
CM_FOUCAULT_001,Gemma 4 31B IT,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,98f3c8aa-7662-449d-8bc9-789db679a7b5
CM_FOUCAULT_001,Granite 4.1 8B,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,6a439759-2c09-40f5-b714-5f0905b08611
CM_FOUCAULT_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,43b57069-ea6b-42b1-9339-b978dcf9ad74
CM_FOUCAULT_001,Ministral 3 8B,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,981eba36-7bcf-427e-9a83-c05551b36c90
CM_FOUCAULT_001,Mistral NeMo 12B,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,78db6adf-408e-49e7-8f70-5a4c3fe210ad
CM_FOUCAULT_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,87d3ed82-6adb-40f0-8db1-efb66f5207f4
CM_FOUCAULT_001,NVIDIA Nemotron 3 Nano 30B-A3B,structured_prompt_pilot_v2,ALL_BLANK,False,REVIEW,nemotron_tail_loop_or_multi_block_risk,1,0,0,85248882-722c-4322-9de6-07aaceb58e13
COS_CMB_001,Gemma 3 12B IT,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,f7f12cfe-6b34-4c5b-8af3-5337de7fb235
COS_CMB_001,Gemma 3 27B IT,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,45f12cf7-3772-421a-8998-b0b7ff23252b
COS_CMB_001,Gemma 4 31B IT,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,c15d63d9-68db-48a3-85f1-9600fff091ee
COS_CMB_001,Granite 4.1 8B,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed
COS_CMB_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v2,OK,True,CLEAN,clean_first_layer_ok,1,3,3,a3752b06-d12a-4b6f-b533-06abdc5a4a2d
