source_run_id,batch,scenario_id,category,model_name,original_deterministic_grade,original_error_tags,original_failed_fields,extraction_status,helper_status,field_name,expected_value,extracted_value,expected_abs_value,abs_error,rel_error,rel_error_percent,signed_error,signed_rel_error,original_rel_tolerance,original_abs_tolerance,original_field_pass,plus_one_pp_field_pass,failure_type,parse_status,included_in_distribution,numeric_comparison_available,expected_near_zero,extracted_parseable,notes
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,PASS,,,OK,OK,period_hours,31.872957,32.00,31.872957,0.127043,0.00398591821901,0.398591821901,0.127043,0.00398591821901,0.01,0.31872957,true,true,none,OK,true,true,false,true,relative_error_computed
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,PASS,,,OK,OK,rate_deg_per_day,271.076197,269.99,271.076197,1.086197,0.00400698036943,0.400698036943,-1.086197,-0.00400698036943,0.01,2.71076197,true,true,none,OK,true,true,false,true,relative_error_computed
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,PASS,,,OK,OK,rate_deg_per_hour,11.294842,11.2575,11.294842,0.037342,0.00330611087787,0.330611087787,-0.037342,-0.00330611087787,0.01,0.11294842,true,true,none,OK,true,true,false,true,relative_error_computed
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,PASS,,,OK,OK,period_hours,31.872957,31.86,31.872957,0.012957,0.000406520173199,0.0406520173199,-0.012957,-0.000406520173199,0.01,0.31872957,true,true,none,OK,true,true,false,true,relative_error_computed
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,PASS,,,OK,OK,rate_deg_per_day,271.076197,271.08,271.076197,0.003803,1.40292657271e-05,0.00140292657271,0.003803,1.40292657271e-05,0.01,2.71076197,true,true,none,OK,true,true,false,true,relative_error_computed
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,PASS,,,OK,OK,rate_deg_per_hour,11.294842,11.295,11.294842,0.000158000000001,1.39886861632e-05,0.00139886861632,0.000158000000001,1.39886861632e-05,0.01,0.11294842,true,true,none,OK,true,true,false,true,relative_error_computed
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,PASS,,,OK,OK,period_hours,31.872957,31.86,31.872957,0.012957,0.000406520173199,0.0406520173199,-0.012957,-0.000406520173199,0.01,0.31872957,true,true,none,OK,true,true,false,true,relative_error_computed
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,PASS,,,OK,OK,rate_deg_per_day,271.076197,271.2,271.076197,0.123803,0.000456709225561,0.0456709225561,0.123803,0.000456709225561,0.01,2.71076197,true,true,none,OK,true,true,false,true,relative_error_computed
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,PASS,,,OK,OK,rate_deg_per_hour,11.294842,11.30,11.294842,0.005158,0.000456668628034,0.0456668628034,0.005158,0.000456668628034,0.01,0.11294842,true,true,none,OK,true,true,false,true,relative_error_computed
6a439759-2c09-40f5-b714-5f0905b08611,V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,,,OK,OK,period_hours,31.872957,31.92,31.872957,0.047043,0.00147595342346,0.147595342346,0.047043,0.00147595342346,0.01,0.31872957,true,true,none,OK,true,true,false,true,relative_error_computed
