pilot_name,prompt_sequence,scenario_id,scenario_title,category,model_name,prompt,prompt_sha256
structured_prompt_pilot_v1,1,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Gemma 3 12B IT,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,2,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Gemma 3 27B IT,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,3,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Gemma 4 31B IT,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,4,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Granite 4.1 8B,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,5,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Llama 3.1 8B Instruct,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,6,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Ministral 3 8B,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,7,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Mistral NeMo 12B,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,8,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Mistral Small 3.2 24B Instruct,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,9,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,NVIDIA Nemotron 3 Nano 30B-A3B,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{rate_deg_per_day}  &=  \
\mathrm{rate_deg_per_hour} &=  \
\mathrm{period_hours}       &=
\end{aligned}
]",58b6d5527d7eae072ee86fef75dfa1b90ef09d5a9da1f83b0afce28bb35ab5a3
structured_prompt_pilot_v1,10,COS_CMB_001,"CMB scaling - temperature, number, and energy densities",Cosmology,Gemma 3 12B IT,"Solve the scenario. Use the following answer structure. Keep the same sections, step order, field names, and final-answer block format. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
**Derivation**
1. **Temperature.** T ∝ (1+z): T_rec = 2.725·1101 = **____ K**.
2. **Number density.** n ∝ (1+z)³: log₁₀(n_rec/n₀) = 3·log₁₀(1101) = **____**.
3. **Energy density.** u ∝ (1+z)⁴: log₁₀(u_rec/u₀) = 4·log₁₀(1101) = **____**. The extra factor of (1+z) over the number density is the **per-photon energy redshift** — each photon's energy scales as (1+z).
4. **Blackbody preserved.** T ∝ 1/a keeps the Planck spectrum form-invariant: redshifting a Planck spectrum at T yields a Planck spectrum at T/(1+z). No scattering or rethermalization is required.
**FINAL ANSWER**

[
\begin{aligned}
\mathrm{T_rec_K}            &=  \
\mathrm{log10_number_ratio} &=  \
\mathrm{log10_energy_ratio} &=
\end{aligned}
]",88aefd581a3caa636a1bbd543f196a1ad3b9662d2b408c1686d63aecf2bd527d
