scenario_id,model_name,prompt_mode,raw_helper_status,review_status,field_count,numeric_field_count,normalized_final_answer,extraction_status,deterministic_grade,numeric_match_count,numeric_total_count,failed_fields,error_tags,primary_failure_mode,output_path_or_run_id
CM_FOUCAULT_001,Gemma 3 12B IT,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""32.00"", ""rate_deg_per_day"": ""269.99"", ""rate_deg_per_hour"": ""11.2575""}",OK,PASS,3,3,,,none,683d993d-776a-4d0a-8d7b-5f3955ff7ec2
CM_FOUCAULT_001,Gemma 3 27B IT,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""31.86"", ""rate_deg_per_day"": ""271.08"", ""rate_deg_per_hour"": ""11.295""}",OK,PASS,3,3,,,none,b77ca7e5-2054-47cf-8b2a-f0522502ecbe
CM_FOUCAULT_001,Gemma 4 31B IT,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""31.86"", ""rate_deg_per_day"": ""271.2"", ""rate_deg_per_hour"": ""11.30""}",OK,PASS,3,3,,,none,98f3c8aa-7662-449d-8bc9-789db679a7b5
CM_FOUCAULT_001,Granite 4.1 8B,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""31.92"", ""rate_deg_per_day"": ""270.72"", ""rate_deg_per_hour"": ""11.28""}",OK,PASS,3,3,,,none,6a439759-2c09-40f5-b714-5f0905b08611
CM_FOUCAULT_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""32"", ""rate_deg_per_day"": ""270"", ""rate_deg_per_hour"": ""11.25""}",OK,PASS,3,3,,,none,43b57069-ea6b-42b1-9339-b978dcf9ad74
CM_FOUCAULT_001,Ministral 3 8B,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""32.0"", ""rate_deg_per_day"": ""272.04"", ""rate_deg_per_hour"": ""11.335""}",OK,PASS,3,3,,,none,981eba36-7bcf-427e-9a83-c05551b36c90
CM_FOUCAULT_001,Mistral NeMo 12B,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""32.34"", ""rate_deg_per_day"": ""267.528"", ""rate_deg_per_hour"": ""11.147""}",OK,FAIL,0,3,period_hours;rate_deg_per_day;rate_deg_per_hour,period_hours:MISMATCH;rate_deg_per_day:MISMATCH;rate_deg_per_hour:MISMATCH,numeric_mismatch,78db6adf-408e-49e7-8f70-5a4c3fe210ad
CM_FOUCAULT_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""period_hours"": ""31.84"", ""rate_deg_per_day"": ""271.3"", ""rate_deg_per_hour"": ""11.304""}",OK,PASS,3,3,,,none,87d3ed82-6adb-40f0-8db1-efb66f5207f4
COS_CMB_001,Gemma 3 12B IT,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""T_rec_K"": ""2999.025"", ""log10_energy_ratio"": ""12.1656"", ""log10_number_ratio"": ""9.1242""}",OK,PASS,3,3,,,none,f7f12cfe-6b34-4c5b-8af3-5337de7fb235
COS_CMB_001,Gemma 3 27B IT,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""T_rec_K"": ""3000.225"", ""log10_energy_ratio"": ""12.16556"", ""log10_number_ratio"": ""9.12417""}",OK,PASS,3,3,,,none,45f12cf7-3772-421a-8998-b0b7ff23252b
COS_CMB_001,Gemma 4 31B IT,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""T_rec_K"": ""2999.925"", ""log10_energy_ratio"": ""12.167"", ""log10_number_ratio"": ""9.125""}",OK,PASS,3,3,,,none,c15d63d9-68db-48a3-85f1-9600fff091ee
COS_CMB_001,Granite 4.1 8B,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""T_rec_K"": ""3000.0"", ""log10_energy_ratio"": ""12.166"", ""log10_number_ratio"": ""9.124""}",OK,PASS,3,3,,,none,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed
COS_CMB_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v2,OK,CLEAN,3,3,"{""T_rec_K"": ""29885.275"", ""log10_energy_ratio"": ""8.083"", ""log10_number_ratio"": ""6.041""}",OK,FAIL,0,3,T_rec_K;log10_energy_ratio;log10_number_ratio,T_rec_K:MISMATCH;log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,numeric_mismatch,a3752b06-d12a-4b6f-b533-06abdc5a4a2d
