model_name,metric,row_count,pass_count,fail_count,mean,median,min,max,PASS_mean,FAIL_mean,PASS_minus_FAIL_mean_gap,simple_effect_size,correlation_with_deterministic_pass
Gemma 3 12B IT,informativeness_chain,32,15,17,0.9827163759618998,0.9909233748912811,0.8958742022514343,0.9985117316246033,0.9911117037137349,0.9753087338279275,0.015802969885807427,0.7425432547638983,0.3488388052720207
Gemma 3 12B IT,informativeness_step,32,15,17,0.9423257559537888,0.9504588544368744,0.8830327987670898,0.9749990701675415,0.9550026178359985,0.931140289587133,0.023862328248865472,1.1458074443111017,0.505874194257184
Gemma 3 12B IT,reasoning_alignment,32,15,17,0.9309730753302574,0.9424956440925598,0.8535398244857788,0.9708319306373596,0.9464452346165975,0.9173211700776044,0.029124064538993077,0.97660889236342,0.44463318367231824
Gemma 3 12B IT,repetition_step,32,15,17,0.01949974335730076,0.029916509985923767,0.0,0.03336828947067261,0.025180145104726156,0.014487624168395996,0.01069252093633016,0.7115322726862738,0.3421472438158039
Gemma 3 12B IT,semantic_coverage_chain,32,15,17,0.9827163759618998,0.9909233748912811,0.8958742022514343,0.9985117316246033,0.9911117037137349,0.9753087338279275,0.015802969885807427,0.7425432547638983,0.3488388052720207
Gemma 3 12B IT,semantic_coverage_step,32,15,17,0.9309730753302574,0.9424956440925598,0.8535398244857788,0.9708319306373596,0.9464452346165975,0.9173211700776044,0.029124064538993077,0.97660889236342,0.44463318367231824
Gemma 3 12B IT,roscoe_available_mean,32,15,17,0.9539409317076206,0.9637426495552064,0.8862010478973389,0.9806674242019653,0.9660232988993327,0.9432800194796394,0.02274327941969334,1.0391292292760048,0.4646305885541013
Gemma 3 12B IT,selected_roscoe_score,32,15,17,0.9309730753302574,0.9424956440925598,0.8535398244857788,0.9708319306373596,0.9464452346165975,0.9173211700776044,0.029124064538993077,0.97660889236342,0.44463318367231824
Gemma 3 27B IT,informativeness_chain,32,16,16,0.9882248304784298,0.9956820011138916,0.8917893171310425,0.9991199970245361,0.9905803501605988,0.9858693107962608,0.004711039364337921,0.22635469507219008,0.11609862190904668
Gemma 3 27B IT,informativeness_step,32,16,16,0.9547262266278267,0.9628636240959167,0.889923632144928,0.9851069450378418,0.9657535254955292,0.9436989277601242,0.022054597735404968,0.9801129694337937,0.45158242790762587
Gemma 3 27B IT,reasoning_alignment,32,16,16,0.9489484000951052,0.9621460437774658,0.8601073026657104,0.9814419746398926,0.9608752094209194,0.9370215907692909,0.023853618651628494,0.8841670620927742,0.4153376426138814
Gemma 3 27B IT,repetition_step,32,16,16,0.026702377945184708,0.03336825966835022,0.0,0.03530427813529968,0.027095021679997444,0.02630973421037197,0.000785287469625473,0.06587037365744554,0.03399565318377118
Gemma 3 27B IT,semantic_coverage_chain,32,16,16,0.9882248304784298,0.9956820011138916,0.8917893171310425,0.9991199970245361,0.9905803501605988,0.9858693107962608,0.004711039364337921,0.22635469507219008,0.11609862190904668
Gemma 3 27B IT,semantic_coverage_step,32,16,16,0.9489484000951052,0.9621460437774658,0.8601073026657104,0.9814419746398926,0.9608752094209194,0.9370215907692909,0.023853618651628494,0.8841670620927742,0.4153376426138814
