metric,deterministic_pass_binary,selected_roscoe_score,roscoe_available_mean,informativeness_chain,informativeness_step,reasoning_alignment,repetition_step,semantic_coverage_chain,semantic_coverage_step,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,candidate_reference_length_ratio,candidate_reasoning_text_length_chars,reference_reasoning_text_length_chars
deterministic_pass_binary,0.9999999999999999,0.2342782249696532,0.21718100308799582,0.11482257187324728,0.28497182413973776,0.2342782249696532,0.13735332798563513,0.11482257187324728,0.2342782249696532,0.0991991117528353,0.1037592119410813,0.17289052328927268,-0.023856310403062644,-0.042799482345142935,-0.07489790149977477
selected_roscoe_score,0.2342782249696532,1.0,0.9816455076478551,0.8505243468040357,0.9468744859226759,1.0,0.4397515536994649,0.8505243468040357,1.0,0.896465194154824,0.8904418795283773,0.790307619462401,-0.7022172845703566,-0.7413216095672822,-0.05624601093141042
roscoe_available_mean,0.21718100308799582,0.9816455076478551,1.0000000000000002,0.9277019096851686,0.9586191607486771,0.9816455076478551,0.4046885325619206,0.9277019096851686,0.9816455076478551,0.9245058275910663,0.9200681689457522,0.8337384857971155,-0.6780709210103778,-0.7323216563553437,-0.12183293032715431
informativeness_chain,0.11482257187324728,0.8505243468040357,0.9277019096851686,1.0,0.823104426139407,0.8505243468040357,0.3247655266278876,1.0,0.8505243468040357,0.8670583268021796,0.8459866045891747,0.7549077407711486,-0.6070464799035482,-0.6545650519349039,-0.1138566604942912
informativeness_step,0.28497182413973776,0.9468744859226759,0.9586191607486771,0.823104426139407,1.0000000000000002,0.9468744859226759,0.3669974734064377,0.823104426139407,0.9468744859226759,0.8971041442128886,0.920513788951773,0.8869172986013658,-0.6013249681106142,-0.6881965116686185,-0.2538763903215616
reasoning_alignment,0.2342782249696532,1.0,0.9816455076478551,0.8505243468040357,0.9468744859226759,1.0,0.4397515536994649,0.8505243468040357,1.0,0.896465194154824,0.8904418795283773,0.790307619462401,-0.7022172845703566,-0.7413216095672822,-0.05624601093141042
repetition_step,0.13735332798563513,0.4397515536994649,0.4046885325619206,0.3247655266278876,0.3669974734064377,0.4397515536994649,1.0,0.3247655266278876,0.4397515536994649,0.3082140778947448,0.3038217810628721,0.25691501702804986,-0.28314884863269935,-0.32933665309316607,-0.020848758691623535
semantic_coverage_chain,0.11482257187324728,0.8505243468040357,0.9277019096851686,1.0,0.823104426139407,0.8505243468040357,0.3247655266278876,1.0,0.8505243468040357,0.8670583268021796,0.8459866045891747,0.7549077407711486,-0.6070464799035482,-0.6545650519349039,-0.1138566604942912
semantic_coverage_step,0.2342782249696532,1.0,0.9816455076478551,0.8505243468040357,0.9468744859226759,1.0,0.4397515536994649,0.8505243468040357,1.0,0.896465194154824,0.8904418795283773,0.790307619462401,-0.7022172845703566,-0.7413216095672822,-0.05624601093141042
bertscore_reasoning_only_v2_f1,0.0991991117528353,0.896465194154824,0.9245058275910663,0.8670583268021796,0.8971041442128886,0.896465194154824,0.3082140778947448,0.8670583268021796,0.896465194154824,1.0,0.9754097010004935,0.9064734857941613,-0.7078499092566665,-0.760887292738903,-0.18011258349600873
rouge_l_f1,0.1037592119410813,0.8904418795283773,0.9200681689457522,0.8459866045891747,0.920513788951773,0.8904418795283773,0.3038217810628721,0.8459866045891747,0.8904418795283773,0.9754097010004935,1.0,0.9487822838568156,-0.7118739390493264,-0.7904151388663914,-0.2656366220689165
chrf_score,0.17289052328927268,0.790307619462401,0.8337384857971155,0.7549077407711486,0.8869172986013658,0.790307619462401,0.25691501702804986,0.7549077407711486,0.790307619462401,0.9064734857941613,0.9487822838568156,1.0,-0.5714775549942789,-0.6843491959204907,-0.4451982539904716
candidate_reference_length_ratio,-0.023856310403062644,-0.7022172845703566,-0.6780709210103778,-0.6070464799035482,-0.6013249681106142,-0.7022172845703566,-0.28314884863269935,-0.6070464799035482,-0.7022172845703566,-0.7078499092566665,-0.7118739390493264,-0.5714775549942789,1.0,0.919400118525778,-0.21046398207689623
candidate_reasoning_text_length_chars,-0.042799482345142935,-0.7413216095672822,-0.7323216563553437,-0.6545650519349039,-0.6881965116686185,-0.7413216095672822,-0.32933665309316607,-0.6545650519349039,-0.7413216095672822,-0.760887292738903,-0.7904151388663914,-0.6843491959204907,0.919400118525778,1.0,0.1300871302672614
reference_reasoning_text_length_chars,-0.07489790149977477,-0.05624601093141042,-0.12183293032715431,-0.1138566604942912,-0.2538763903215616,-0.05624601093141042,-0.020848758691623535,-0.1138566604942912,-0.05624601093141042,-0.18011258349600873,-0.2656366220689165,-0.4451982539904716,-0.21046398207689623,0.1300871302672614,1.0
