source_run_id,batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,selected_roscoe_metric_name,selected_roscoe_score,roscoe_available_mean,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score
e393f274-ca90-4884-a598-72d0a544a214,V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,reasoning_alignment,0.9778833985328674,0.9865517497062684,0.917246401309967,0.9651376146788991,0.9751084394461151
9cabff0f-1401-4d81-a9ab-0c356b747793,V5,CM_TOP_001,Classical Mechanics,Mistral NeMo 12B,FAIL,precession_double_spin:MISMATCH;precession_period_s:MISMATCH;precession_rad_s:MISMATCH,precession_double_spin;precession_period_s;precession_rad_s,reasoning_alignment,0.9724238514900208,0.9795596122741699,0.8855158686637878,0.9111111111111111,0.9261453754182566
8dd9d539-5113-456a-ad1b-2987c0bf85c9,V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,reasoning_alignment,0.970308780670166,0.9827191710472107,0.9328727126121521,0.9453781512605043,0.9478786425598541
d678fa6d-f25c-4af8-bc83-9067f0531bcc,V3,CM_APSIDAL_001,Classical Mechanics,Gemma 3 27B IT,FAIL,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,reasoning_alignment,0.97017902135849,0.9782429695129394,0.8701483607292175,0.9128205128205128,0.9181246401312709
4e065114-6895-4037-9f9c-d85e9790bfc5,V3,CM_APSIDAL_001,Classical Mechanics,Mistral NeMo 12B,FAIL,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,reasoning_alignment,0.9696950316429138,0.9784907817840576,0.89403235912323,0.9426433915211969,0.9399121213051227
739669d7-f24b-48b0-aaa4-7ea7484fd9f5,V3,QI_WERNER_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,concurrence_at_p05:MISMATCH,concurrence_at_p05,reasoning_alignment,0.9693461656570435,0.9782030820846558,0.8847759366035461,0.9502262443438915,0.9574304059550219
063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,V4,SR_TWIN_001,Special Relativity,Mistral NeMo 12B,FAIL,traveler_time_yr:MISMATCH,traveler_time_yr,reasoning_alignment,0.9670277237892151,0.9789892435073853,0.880698025226593,0.9222011385199241,0.9349039921992133
f95b1fba-a8d5-4851-a0b3-6a2433ce8fdf,V3,QI_WERNER_001,Quantum Information Theory,Llama 3.1 8B Instruct,FAIL,concurrence_at_p05:MISMATCH,concurrence_at_p05,reasoning_alignment,0.9658822417259216,0.9683768272399902,0.8532043695449829,0.9030732860520094,0.9192685195139132
09da2552-f5c9-4b6d-a531-830e1a95ff6b,V5,CM_TOP_001,Classical Mechanics,Llama 3.1 8B Instruct,FAIL,precession_double_spin:MISMATCH;precession_period_s:MISMATCH;precession_rad_s:MISMATCH,precession_double_spin;precession_period_s;precession_rad_s,reasoning_alignment,0.965003490447998,0.9755973815917969,0.879555881023407,0.9111111111111111,0.9264300973872369
68d0c843-5e37-4256-a9d7-76a6d8498500,V5,QFT_YUKAWA_001,Quantum Field Theory,Mistral NeMo 12B,FAIL,nonreduced_fm:MISMATCH,nonreduced_fm,reasoning_alignment,0.9647919535636902,0.9787353277206421,0.8628223538398743,0.911504424778761,0.9107923277524139
