batch,metric,row_count,pass_count,fail_count,mean,median,min,max,PASS_mean,FAIL_mean,PASS_minus_FAIL_mean_gap,simple_effect_size,correlation_with_deterministic_pass
V2,informativeness_chain,64,37,27,0.9800869701430202,0.994084358215332,0.9141256213188171,0.9991947412490845,0.9829814434051514,0.9761204697467663,0.006860973658385117,0.2820759316020969,0.1425165058789828
V2,informativeness_step,64,37,27,0.93594840914011,0.946940004825592,0.779042661190033,0.9872204065322876,0.9480217034752304,0.9194035243105005,0.028618179164729862,0.6540298799289596,0.31879899183403565
V2,reasoning_alignment,64,37,27,0.9275730978697538,0.9414789080619812,0.7904766201972961,0.9773524403572083,0.9392852879859306,0.9115230595624005,0.027762228423530044,0.6144587356562783,0.3019519063411597
V2,repetition_step,64,37,27,0.02551056956872344,0.03336825966835022,0.0,0.04156869649887085,0.027170960967605177,0.023235218392478094,0.003935742575127084,0.32643759117825766,0.16409609815296242
V2,semantic_coverage_chain,64,37,27,0.9800869701430202,0.994084358215332,0.9141256213188171,0.9991947412490845,0.9829814434051514,0.9761204697467663,0.006860973658385117,0.2820759316020969,0.1425165058789828
V2,semantic_coverage_step,64,37,27,0.9275730978697538,0.9414789080619812,0.7904766201972961,0.9773524403572083,0.9392852879859306,0.9115230595624005,0.027762228423530044,0.6144587356562783,0.3019519063411597
V2,roscoe_available_mean,64,37,27,0.9502537090331316,0.9628312766551972,0.8412548184394837,0.9872848987579346,0.9585110332514789,0.9389381165857669,0.019572916665712037,0.548077700562237,0.27136358407719846
V2,selected_roscoe_score,64,37,27,0.9275730978697538,0.9414789080619812,0.7904766201972961,0.9773524403572083,0.9392852879859306,0.9115230595624005,0.027762228423530044,0.6144587356562783,0.3019519063411597
V3,informativeness_chain,61,24,37,0.9799223209990829,0.9918481707572937,0.8963450193405151,0.9991199970245361,0.9830210755268732,0.977912318062138,0.00510875746473527,0.1928039343905315,0.09531671736835881
V3,informativeness_step,61,24,37,0.9349576645210141,0.9432087540626526,0.7790209054946899,0.99314284324646,0.9538629129528999,0.9226948006733043,0.031168112279595594,0.7717843894721129,0.35935672726393975
V3,reasoning_alignment,61,24,37,0.9320228901065764,0.9438144564628601,0.7910165786743164,0.9890472888946533,0.9442971919973692,0.9240611807720082,0.020236011225361006,0.4535930818638542,0.22324053871727428
V3,repetition_step,61,24,37,0.020744944205049607,0.03336825966835022,0.0,0.035883814096450806,0.020468417555093765,0.020924312842858804,-0.0004558952877650388,-0.02972954557390463,-0.014924129846341684
V3,semantic_coverage_chain,61,24,37,0.9799223209990829,0.9918481707572937,0.8963450193405151,0.9991199970245361,0.9830210755268732,0.977912318062138,0.00510875746473527,0.1928039343905315,0.09531671736835881
V3,semantic_coverage_step,61,24,37,0.9320228901065764,0.9438144564628601,0.7910165786743164,0.9890472888946533,0.9442971919973692,0.9240611807720082,0.020236011225361006,0.4535930818638542,0.22324053871727428
V3,roscoe_available_mean,61,24,37,0.9517696173464666,0.9648229360580445,0.8411206007003784,0.9934968948364258,0.961699889600277,0.9453283596683193,0.016371529931957673,0.46398673628340226,0.2275204004101077
V3,selected_roscoe_score,61,24,37,0.9320228901065764,0.9438144564628601,0.7910165786743164,0.9890472888946533,0.9442971919973692,0.9240611807720082,0.020236011225361006,0.4535930818638542,0.22324053871727428
V4,informativeness_chain,63,19,44,0.9724231475875491,0.9873573184013367,0.8604453206062317,0.999191164970398,0.9737501018925717,0.9718501445921984,0.0018999573003732895,0.057610692795405545,0.026453917257938258
V4,informativeness_step,63,19,44,0.9326723823471675,0.9429001212120056,0.8391247987747192,0.9830358028411865,0.9458598965092709,0.9269777739589865,0.01888212255028443,0.4900231346452067,0.22502193660784572
V4,reasoning_alignment,63,19,44,0.9226594482149396,0.9365683197975159,0.8148285150527954,0.9799416065216064,0.9316541866252297,0.918775356628678,0.012878829996551655,0.279394908268262,0.13278880960251702
V4,repetition_step,63,19,44,0.024385201552557568,0.03336825966835022,0.0,0.05812743306159973,0.024806513598090725,0.02420327135107734,0.0006032422470133858,0.03947821076365123,0.018037363754954416
V4,semantic_coverage_chain,63,19,44,0.9724231475875491,0.9873573184013367,0.8604453206062317,0.999191164970398,0.9737501018925717,0.9718501445921984,0.0018999573003732895,0.057610692795405545,0.026453917257938258
V4,semantic_coverage_step,63,19,44,0.9226594482149396,0.9365683197975159,0.8148285150527954,0.9799416065216064,0.9316541866252297,0.918775356628678,0.012878829996551655,0.279394908268262,0.13278880960251702
V4,roscoe_available_mean,63,19,44,0.944567514790429,0.957390034198761,0.8469070196151733,0.9882602691650391,0.9513336947089748,0.9416457552801479,0.009687939428826842,0.2535927823762325,0.11892439723818622
V4,selected_roscoe_score,63,19,44,0.9226594482149396,0.9365683197975159,0.8148285150527954,0.9799416065216064,0.9316541866252297,0.918775356628678,0.012878829996551655,0.279394908268262,0.13278880960251702
V5,informativeness_chain,64,37,27,0.9733242923393846,0.9922923743724823,0.8684898614883423,0.9998824596405029,0.9786758052336203,0.9659907376324689,0.0126850676011514,0.35756228013990426,0.17834093943076487
V5,informativeness_step,64,37,27,0.9370534829795361,0.953834742307663,0.8181531429290771,0.991364598274231,0.9458573106172923,0.9249889784389072,0.02086833217838513,0.4732796344833938,0.23218281236520347
V5,reasoning_alignment,64,37,27,0.9308907426893711,0.951387494802475,0.7834432125091553,0.9844070076942444,0.9420227408409119,0.915635782259482,0.02638695858142992,0.5214859924064774,0.25844581990197774
V5,repetition_step,64,37,27,0.025024204980582,0.03336825966835022,0.0,0.03336828947067261,0.028978462960269,0.01960540700841833,0.00937305595185067,0.7882283857429625,0.3798194348447152
V5,semantic_coverage_chain,64,37,27,0.9733242923393846,0.9922923743724823,0.8684898614883423,0.9998824596405029,0.9786758052336203,0.9659907376324689,0.0126850676011514,0.35756228013990426,0.17834093943076487
V5,semantic_coverage_step,64,37,27,0.9308907426893711,0.951387494802475,0.7834432125091553,0.9844070076942444,0.9420227408409119,0.915635782259482,0.02638695858142992,0.5214859924064774,0.25844581990197774
V5,roscoe_available_mean,64,37,27,0.9490967106074095,0.9680042684078216,0.850473165512085,0.99123215675354,0.9574508805532713,0.9376484036445618,0.01980247690870951,0.47986329962232266,0.23719496747686922
V5,selected_roscoe_score,64,37,27,0.9308907426893711,0.951387494802475,0.7834432125091553,0.9844070076942444,0.9420227408409119,0.915635782259482,0.02638695858142992,0.5214859924064774,0.25844581990197774
