source_run_id,batch,scenario_id,category,model_name,field_name,expected_value,extracted_value,original_abs_error,original_rel_error,original_abs_tolerance,original_rel_tolerance,effective_plus_one_pp_abs_tolerance,effective_plus_one_pp_rel_tolerance,original_field_pass,plus_one_pp_field_pass,failure_type,eligible_for_plus_one_pp_rescue,notes
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,period_hours,31.872957,32.00,0.127043,0.00398591821901,0.31872957,0.01,0.63745914,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,rate_deg_per_day,271.076197,269.99,1.086197,0.00400698036943,2.71076197,0.01,5.42152394,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,rate_deg_per_hour,11.294842,11.2575,0.037342,0.00330611087787,0.11294842,0.01,0.22589684,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,period_hours,31.872957,31.86,0.012957,0.000406520173199,0.31872957,0.01,0.63745914,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,rate_deg_per_day,271.076197,271.08,0.003803,1.40292657271e-05,2.71076197,0.01,5.42152394,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,rate_deg_per_hour,11.294842,11.295,0.000158000000001,1.39886861632e-05,0.11294842,0.01,0.22589684,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,period_hours,31.872957,31.86,0.012957,0.000406520173199,0.31872957,0.01,0.63745914,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,rate_deg_per_day,271.076197,271.2,0.123803,0.000456709225561,2.71076197,0.01,5.42152394,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,rate_deg_per_hour,11.294842,11.30,0.005158,0.000456668628034,0.11294842,0.01,0.22589684,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
6a439759-2c09-40f5-b714-5f0905b08611,V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,period_hours,31.872957,31.92,0.047043,0.00147595342346,0.31872957,0.01,0.63745914,0.02,true,true,none,true,relative_tolerance_plus_0_01_percentage_point
