source_run_id,candidate_full_text_sha256,candidate_reasoning_text_sha256,reference_reasoning_text_sha256
0087022b-4054-4302-90e7-1c39288b64c9,c9a12a09edd735dec90aa1fb4f34d68ef35f32014c21cbd6c53dd297141022e8,19f6d372c75f03bbb787f5e072b41ad2689c86bd2ce9aa65baeeb4be6747ab54,5094be1998cfb19e5802ba269dee437b92514e87bfe9462884a58c1d7d6e597e
0230819a-56b1-4d17-86d3-5f6eca9cc205,1f2f2357576846ca0f754fc6f10a16aa2fd71fbd87dff040a29a15df2a0f6183,f38a4d6e82079e4f2399454d55d679d2960f34a39b347284cc0fc89fc6d7192f,b644dc9d765602c3ad7096a8aa8f5bebf146df7f4708b1b8b00cef88b1dd3ed2
03445593-5565-4d84-808b-961d8347ef18,23065532329b5bc6bef9b0d3987a89047308ed067c8aef5176f19ab7f3fb6edf,7963686fc45c557bd6a2fefc766118b6eb7b1b2144ea4b384592e544dc735306,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f
038e0394-8fac-49ea-be6a-c65b10f8f47d,67e023379e3df294a6ab25ba21b6fff92dee0604ed076522253c3a84d4b3d263,2cdc4ed99c7a089405c514378daad53a204696d97db26528a8390aca862bebcb,5094be1998cfb19e5802ba269dee437b92514e87bfe9462884a58c1d7d6e597e
03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d,bf17e893b5e68ef40b37973b8065122c5a15f480c6ff0b1aa24f23b4940785e8,fcb049169dcee66b1af63359cb3eae8d587c327629a3cacf2c82a5d7cbb92c35,6372e29b580047e3f885eca014a5a3546a63acb38257aacad080fe4dba1db9f2
063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,f1e879e919920cc8a6a1d8231509441b0c7b016fe8e2fa7bbd7cb46be5826b2c,604fba5697c67cbea65a4f3ff0a64e30028211ef764dbba271420755c887d250,6279d888734fce89bb96c5b0a953a597ba7ce248ce61323c03eda6c617c34690
06aa69b6-039e-4f7c-91d6-191279776ccc,2e34cafbf3a3c407621f58f60034b68e317eea3492acaee94992e3686bb3d874,bfd2851be37f5fc7ecdb0a400d0db1cde20346c9ed6cdf05550de1e9f48fa50f,f54893f2c5bb799198e0a1e5c0c7ef8d102f11df17b7e8c8dda04218311a2b26
0891d888-672d-4f87-bc31-5a40a8dfdd32,4940927968c4a3063874dda971507624a2a56d7dbc60e256bddb441ba9cf2b76,1d47b4bb344d7586fc82d4c1404ade3c9552599fc2e9551813260d5bf70bcd54,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
08aed30b-5c92-41e7-8512-8d612ffade64,619c4ae558a885ae0dab3c9124d5aa4e73671bea147257fc9406756aaa88a970,8d2a72b75c28f3831111b0db45a2f6dfb258b4ce80f95c94ffd7125fa449ce95,40ec00ed092d35687c10080e642c42818480aebcabc18383aedde1f97dac996a
09da2552-f5c9-4b6d-a531-830e1a95ff6b,04440a9cfb69bf0d48737b0ed20c4761d6bb93d455feac8cef506a41b7cb0b9d,2da0fd735747fdabefe7aa2dc80578e8dc2b6ea8e05f628ebb1fe1d78087f99a,c64dd6493520586cb6113e0bde7c42dacaf5d51998b1346abed4bc5dd4669612
