source_run_id,deterministic_grade,chrf_score,chrf_precision,chrf_recall,rouge_l_f1,bertscore_full_f1,bertscore_no_final_f1,candidate_reference_length_ratio
0087022b-4054-4302-90e7-1c39288b64c9,PASS,0.9390093717712353,0.8814840119615966,0.9545833210045478,0.88715953307393,0.7074148654937744,0.8518898487091064,1.0509641873278237
0230819a-56b1-4d17-86d3-5f6eca9cc205,FAIL,0.8922357239596405,0.7858468040508537,0.9234915844228864,0.8511530398322851,0.6308503746986389,0.7928316593170166,1.1396054628224583
03445593-5565-4d84-808b-961d8347ef18,FAIL,0.4193018197439331,0.18766478922314178,0.6064341662903259,0.29121338912133893,-0.15660437941551208,-0.15660437941551208,3.4313725490196076
038e0394-8fac-49ea-be6a-c65b10f8f47d,FAIL,0.8781245516043203,0.7876218871695567,0.9040961216061837,0.7947269303201507,0.6278647780418396,0.7261034846305847,1.115702479338843
03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d,PASS,0.9777822794523078,0.9538543294637656,0.9839530274651348,0.9653679653679653,0.7349982261657715,0.9759440422058105,0.9970059880239521
063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,FAIL,0.9349039921992133,0.9220904098071805,0.9381632256924066,0.9222011385199241,0.6853037476539612,0.914507269859314,0.9907300115874855
06aa69b6-039e-4f7c-91d6-191279776ccc,PASS,0.8441131305509432,0.7357013631641287,0.8763993287714056,0.7919999999999999,0.46336933970451355,0.6288585662841797,1.1554878048780488
0891d888-672d-4f87-bc31-5a40a8dfdd32,FAIL,0.8521111872123373,0.7034731580909289,0.8996323986213586,0.7636363636363636,0.505449652671814,0.6008708477020264,1.2520435967302452
08aed30b-5c92-41e7-8512-8d612ffade64,FAIL,0.802161781117586,0.8956333686045737,0.7817648192419163,0.9267515923566878,0.6466352939605713,0.891615629196167,0.8390461997019374
09da2552-f5c9-4b6d-a531-830e1a95ff6b,FAIL,0.9264300973872369,0.9219555121270858,0.9275555384431492,0.9111111111111111,0.6785714030265808,0.9233006238937378,0.9712556732223904
0a1bfb8e-7794-43ce-a724-e54da756c20b,FAIL,0.8019893793376669,0.5197139916801717,0.9279964538813417,0.7389162561576355,0.4084946811199188,0.4084946811199188,1.7507002801120448
0ada0fb0-29cc-4f10-b31a-705df74e52ae,FAIL,0.5433495849735764,0.9400738989190669,0.49149513250095817,0.7204968944099379,0.7260578870773315,0.5723583102226257,0.5014903129657228
