scenario_id,category,row_count,pass_count,fail_count,mean_chrf_score,median_chrf_score,min_chrf_score,max_chrf_score,PASS_mean_chrf_score,FAIL_mean_chrf_score,PASS_minus_FAIL_mean_gap,simple_effect_size
CM_APSIDAL_001,Classical Mechanics,8,3,5,0.8449238048588849,0.9108594440227308,0.5069660256725792,0.9744924777715962,0.8147649144447247,0.863019139107381,-0.048254224662656386,-0.29086852632450877
CM_FOUCAULT_001,Classical Mechanics,8,7,1,0.8087089765945656,0.9208759822222279,0.5082019546592954,0.9593437090896467,0.7920699318391065,0.9251822898827803,-0.13311235804367383,-1.0588143462902442
CM_KAPITZA_001,Classical Mechanics,8,1,7,0.7816340948165742,0.8679923853140121,0.45159877007128396,0.937054165952948,0.7346462517847631,0.7883466438211187,-0.05370039203635568,-0.43533780852538734
CM_TOP_001,Classical Mechanics,8,6,2,0.8893391535264324,0.9544672719281436,0.41027430032129536,0.982401599640415,0.8770229592343277,0.9262877364027468,-0.04926477716841904,-0.33276620949503954
COS_AGE_001,Cosmology,8,1,7,0.8288550442843268,0.9091769499057784,0.40959689748982936,0.9836550850644384,0.9836550850644384,0.8067407527443108,0.17691433232012765,1.3250182195455675
COS_CMB_001,Cosmology,8,5,3,0.8568271246229635,0.9335985346793674,0.5012381027805652,0.9604795407965007,0.8077010322990836,0.9387039451627632,-0.1310029128636796,-1.0698192005706824
COS_DESITTER_001,Cosmology,8,1,7,0.7225357406359216,0.7594126715974499,0.439708460964338,0.9226676326597103,0.668288906496323,0.73028528837015,-0.061996381873827056,-0.45309565930553547
COS_DL_001,Cosmology,8,5,3,0.8243066286454134,0.8814769396252732,0.5041505561930941,0.9832692720635119,0.8315620335002052,0.8122142872207605,0.01934774627944469,0.14038237996056008
GR_CHIRP_001,General Relativity,8,0,8,0.7544433100755826,0.8398473748539529,0.389301177577087,0.9342505297932944,,0.7544433100755826,,
GR_GPS_001,General Relativity,8,0,8,0.4648533992731798,0.4652393905024289,0.35811346098804325,0.5475489414531911,,0.4648533992731798,,
GR_ISCO_001,General Relativity,8,0,8,0.7386325645530049,0.8526582111510677,0.41595362339242054,0.9165113950985797,,0.7386325645530049,,
GR_PERI_001,General Relativity,8,1,7,0.7291041079767742,0.8140049592363194,0.2464398811208246,0.8998157245659832,0.6927581587560817,0.734296386436873,-0.041538227680791295,-0.2730261634901422
QFT_CASIMIR_001,Quantum Field Theory,8,1,7,0.5218222217699782,0.5324377685531309,0.44286624664115803,0.5398584610873234,0.44286624664115803,0.533101646788381,-0.09023540014722298,-21.23580999144741
QFT_G2_001,Quantum Field Theory,8,3,5,0.7738583062627316,0.7759531905187028,0.5263696119760335,0.9110492936188,0.7042353619761491,0.8156320728346811,-0.11139671085853198,-1.0610041422498377
QFT_UNRUH_001,Quantum Field Theory,7,2,5,0.8612743648051183,0.8646423312781606,0.7259721839351174,0.9598701154334042,0.900553964268695,0.8455625250196876,0.0549914392490074,0.9043919899900897
QFT_YUKAWA_001,Quantum Field Theory,8,7,1,0.8885349726922751,0.9480787817369924,0.4522927007520598,0.9777822794523078,0.8853553505408267,0.9107923277524139,-0.02543697721158722,-0.20210168047860064
QI_CLONE_001,Quantum Information Theory,8,8,0,0.8484657664171206,0.8968280952785408,0.5239089110207973,0.9738910084814713,0.8484657664171206,,,
QI_HOLEVO_001,Quantum Information Theory,8,2,6,0.7992128789434099,0.8829890008776391,0.36093380204317427,0.9390093717712353,0.9134314109610966,0.7611400349375143,0.15229137602358234,1.0115060246173082
QI_TELEPORT_001,Quantum Information Theory,8,6,2,0.8988697060896265,0.9402248485625354,0.5489809146217477,0.9741561514008331,0.8850846585986568,0.9402248485625354,-0.055140189963878594,-0.5128233565242638
QI_WERNER_001,Quantum Information Theory,8,6,2,0.91357289075769,0.9618337660289906,0.5884288264396889,0.9804635127427989,0.9053140334320974,0.9383494627344675,-0.033035429302370134,-0.3263800697052578
QM_AB_001,Quantum Mechanics,8,4,4,0.8676360183110535,0.917946714846164,0.49175930154147585,0.9585105086848899,0.8274676641449026,0.9078043724772044,-0.08033670833230178,-0.5799040062796622
QM_BERRY_001,Quantum Mechanics,8,8,0,0.882128790916459,0.9432500086549189,0.40644689979788484,0.9796814548010306,0.882128790916459,,,
QM_RT_001,Quantum Mechanics,8,1,7,0.8339212268656553,0.9314808619485749,0.39392532807295444,0.956747604133343,0.956747604133343,0.8163746015416998,0.1403730025916432,1.018649319231303
QM_TUNNEL_001,Quantum Mechanics,7,1,6,0.823245587778971,0.8496668688125221,0.7151196115677125,0.8789222633057456,0.8689184654788977,0.8156334414956499,0.05328502398324786,1.2362322131067978
SR_BELL_001,Special Relativity,8,8,0,0.9058987400251274,0.9538247778689317,0.6284286888234145,0.9914191870065052,0.9058987400251274,,,
SR_FIZEAU_001,Special Relativity,8,8,0,0.8495487098340886,0.9503864025777289,0.463650617236979,0.9630967377227416,0.8495487098340886,,,
SR_ROCKET_001,Special Relativity,8,1,7,0.7820172655584058,0.8842674817396564,0.4193018197439331,0.9560933490062956,0.9560933490062956,0.7571492536372786,0.19894409536901703,1.2837357398003917
SR_TWIN_001,Special Relativity,8,6,2,0.9056584633683705,0.9540117933605776,0.5251869963193966,0.9899463988086995,0.8892092125502726,0.9550062158226642,-0.06579700327239157,-0.5611222183668221
STAT_BEC_001,Statistical Mechanics,6,0,6,0.7541010864974943,0.8235167778302781,0.3777918998440968,0.9148267334660939,,0.7541010864974943,,
STAT_ISING_001,Statistical Mechanics,8,7,1,0.8800245169627001,0.9121026802157008,0.6370604298296059,0.9717097466637691,0.870207650392907,0.9487425829512511,-0.0785349325583441,-1.0328831318403604
STAT_LANDAUER_001,Statistical Mechanics,8,2,6,0.8899202802075561,0.9205930861547885,0.7289662775285951,0.9633063332780851,0.8418012457138648,0.9059599583721198,-0.06415871265825501,-0.8628798783919567
STAT_NEGT_001,Statistical Mechanics,8,6,2,0.5201048683722402,0.516932237383831,0.45697060622309005,0.5645817910469465,0.519559729300467,0.5217402855875597,-0.002180556287092683,-0.05987795152789495
