source_run_id,batch,scenario_id,category,model_name,original_deterministic_grade,original_error_tags,original_failed_fields,extraction_status,helper_status,secondary_numeric_category,soft_numeric_eligible,numeric_fields_total,numeric_fields_failed_original,numeric_fields_passed_after_increased_tolerance,non_numeric_failures_present,extraction_or_format_failure_present,conceptual_failure_present,increased_tolerance_changed_result,reason,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,roscoe_reasoning_alignment,candidate_reference_length_ratio
683d993d-776a-4d0a-8d7b-5f3955ff7ec2,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.8816197514533997,0.907608695652174,0.9165696745616755,0.948291003704071,0.9841017488076311
b77ca7e5-2054-47cf-8b2a-f0522502ecbe,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.8974855542182922,0.9448818897637795,0.9593437090896467,0.9657230973243713,1.012718600953895
98f3c8aa-7662-449d-8bc9-789db679a7b5,V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.3642551302909851,0.7048832271762208,0.7059264872346894,0.9195472002029419,1.3640699523052464
6a439759-2c09-40f5-b714-5f0905b08611,V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.06529010832309723,0.4669887278582931,0.5765547757826711,0.8679113984107971,2.120826709062003
43b57069-ea6b-42b1-9339-b978dcf9ad74,V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.270087331533432,0.45622119815668205,0.5082019546592954,0.8705484867095947,1.8314785373608904
981eba36-7bcf-427e-9a83-c05551b36c90,V2,CM_FOUCAULT_001,Classical Mechanics,Ministral 3 8B,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.8409340977668762,0.9336870026525199,0.9290293397514738,0.9592227339744568,1.0031796502384738
78db6adf-408e-49e7-8f70-5a4c3fe210ad,V2,CM_FOUCAULT_001,Classical Mechanics,Mistral NeMo 12B,FAIL,period_hours:MISMATCH;rate_deg_per_day:MISMATCH;rate_deg_per_hour:MISMATCH,period_hours;rate_deg_per_day;rate_deg_per_hour,OK,OK,HARD_FAIL,false,3,3,0,false,false,false,false,numeric_mismatch_exceeds_1_25x_tolerance,0.8144335150718689,0.9291338582677166,0.9251822898827803,0.9464426636695862,1.012718600953895
87d3ed82-6adb-40f0-8db1-efb66f5207f4,V2,CM_FOUCAULT_001,Classical Mechanics,Mistral Small 3.2 24B Instruct,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.9298210740089417,0.9421052631578947,0.9488635817942933,0.9640442728996277,0.9984101748807631
f7f12cfe-6b34-4c5b-8af3-5337de7fb235,V2,COS_CMB_001,Cosmology,Gemma 3 12B IT,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.8564477562904358,0.9157894736842106,0.9322385206360281,0.917853593826294,1.0318021201413428
45f12cf7-3772-421a-8998-b0b7ff23252b,V2,COS_CMB_001,Cosmology,Gemma 3 27B IT,PASS,,,OK,OK,PASS_ORIGINAL,false,3,0,0,false,false,false,false,original_pass_preserved,0.8537248969078064,0.9100529100529101,0.9357384003699287,0.9173531532287598,1.0318021201413428
