source_run_id,sample_group,batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,selected_roscoe_metric_name,selected_roscoe_score,roscoe_available_mean,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score
e393f274-ca90-4884-a598-72d0a544a214,high_overlap_fail,V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,reasoning_alignment,0.9778833985328674,0.9865517497062684,0.917246401309967,0.9651376146788991,0.9751084394461151
8dd9d539-5113-456a-ad1b-2987c0bf85c9,high_overlap_fail,V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,reasoning_alignment,0.970308780670166,0.9827191710472107,0.9328727126121521,0.9453781512605043,0.9478786425598541
672d5859-333f-4a64-a9bf-0605af9f8987,high_overlap_fail,V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,reasoning_alignment,0.9642623662948608,0.9786291122436523,0.9066815376281738,0.9490022172949002,0.9566459294662385
0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,high_overlap_fail,V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,reasoning_alignment,0.9635186195373535,0.9785541296005249,0.9275230169296265,0.9453781512605043,0.941856856738825
1c025782-1745-4b84-8da5-82a9a85a1fb9,high_overlap_fail,V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,landauer_meV:MISMATCH,landauer_meV,reasoning_alignment,0.958980143070221,0.9762744426727294,0.895334780216217,0.9473684210526315,0.9630184943393981
d765a40d-fb04-4ffc-9811-18c108bbbc6d,high_overlap_fail,V5,QM_RT_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,reasoning_alignment,0.9586105346679688,0.9746110439300537,0.9046378135681152,0.95,0.9347036354019523
13d804f3-30ad-428a-ad9d-7f48deb28505,high_overlap_fail,V4,COS_DESITTER_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,efolds_to_gh;gh_temp_e30_K;horizon_gpc,reasoning_alignment,0.9552719593048096,0.973576831817627,0.9080313444137573,0.9387755102040817,0.9226676326597103
bea3064c-f5a0-4eb4-a402-ebfb00b71e9f,stratified_normal,V3,QFT_CASIMIR_001,Quantum Field Theory,Mistral NeMo 12B,FAIL,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa,reasoning_alignment,0.9551564455032349,0.9651842832565307,0.5441675186157227,0.6677908937605397,0.5317119200857157
1ee8b3c0-af92-4328-a2c2-8a46d9dacbde,high_overlap_fail,V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,reasoning_alignment,0.9519320130348206,0.9714927911758423,0.9105151295661926,0.9466666666666667,0.9373615439882558
5bde406e-bcbd-4d75-9974-030635a1f45a,high_overlap_fail,V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,reasoning_alignment,0.9449743032455444,0.9682335376739502,0.9269124269485474,0.9583333333333334,0.9604795407965007
