sample_group,metric,row_count,pass_count,fail_count,mean,median,min,max,PASS_mean,FAIL_mean,PASS_minus_FAIL_mean_gap,simple_effect_size,correlation_with_deterministic_pass
high_overlap_fail,informativeness_chain,10,0,10,0.9977349102497101,0.997742086648941,0.9954761862754822,0.9991947412490845,nan,0.9977349102497101,nan,nan,nan
high_overlap_fail,informativeness_step,10,0,10,0.9654605627059937,0.9649475812911987,0.9523299932479858,0.9804115891456604,nan,0.9654605627059937,nan,nan,nan
high_overlap_fail,reasoning_alignment,10,0,10,0.958735853433609,0.9587953388690948,0.941616415977478,0.9778833985328674,nan,0.958735853433609,nan,nan,nan
high_overlap_fail,repetition_step,10,0,10,0.030385315418243408,0.03336825966835022,0.018732905387878418,0.03336828947067261,nan,0.030385315418243408,nan,nan,nan
high_overlap_fail,semantic_coverage_chain,10,0,10,0.9977349102497101,0.997742086648941,0.9954761862754822,0.9991947412490845,nan,0.9977349102497101,nan,nan,nan
high_overlap_fail,semantic_coverage_step,10,0,10,0.958735853433609,0.9587953388690948,0.941616415977478,0.9778833985328674,nan,0.958735853433609,nan,nan,nan
high_overlap_fail,roscoe_available_mean,10,0,10,0.9756804180145264,0.9754427433013916,0.9661613702774048,0.9865517497062684,nan,0.9756804180145264,nan,nan,nan
high_overlap_fail,selected_roscoe_score,10,0,10,0.958735853433609,0.9587953388690948,0.941616415977478,0.9778833985328674,nan,0.958735853433609,nan,nan,nan
low_overlap_pass,informativeness_chain,10,10,0,0.9289715349674225,0.9294172525405884,0.8993615508079529,0.9566096067428589,0.9289715349674225,nan,nan,nan,nan
low_overlap_pass,informativeness_step,10,10,0,0.8795476794242859,0.8744449615478516,0.8489454984664917,0.916617751121521,0.8795476794242859,nan,nan,nan,nan
low_overlap_pass,reasoning_alignment,10,10,0,0.8590032398700714,0.8631201982498169,0.8412985801696777,0.8887732625007629,0.8590032398700714,nan,nan,nan,nan
low_overlap_pass,repetition_step,10,10,0,0.017707714438438417,0.020736128091812134,0.0,0.04156869649887085,0.017707714438438417,nan,nan,nan,nan
low_overlap_pass,semantic_coverage_chain,10,10,0,0.9289715349674225,0.9294172525405884,0.8993615508079529,0.9566096067428589,0.9289715349674225,nan,nan,nan,nan
low_overlap_pass,semantic_coverage_step,10,10,0,0.8590032398700714,0.8631201982498169,0.8412985801696777,0.8887732625007629,0.8590032398700714,nan,nan,nan,nan
low_overlap_pass,roscoe_available_mean,10,10,0,0.8910994458198548,0.8906730830669403,0.8660531520843506,0.917440938949585,0.8910994458198548,nan,nan,nan,nan
low_overlap_pass,selected_roscoe_score,10,10,0,0.8590032398700714,0.8631201982498169,0.8412985801696777,0.8887732625007629,0.8590032398700714,nan,nan,nan,nan
stratified_normal,informativeness_chain,10,4,6,0.9578165233135223,0.969460129737854,0.8917893171310425,0.9979101419448853,0.9679039865732193,0.9510915478070577,0.016812438766161564,0.4134149879076843,0.22254352801288335
stratified_normal,informativeness_step,10,4,6,0.8978698432445527,0.9081282615661621,0.7790209650993347,0.9716739654541016,0.9240739047527313,0.8804004689057668,0.04367343584696448,0.7266401793534928,0.37548217347663265
stratified_normal,reasoning_alignment,10,4,6,0.8929083526134491,0.9108454287052155,0.7910165786743164,0.97001713514328,0.9135555326938629,0.8791435658931732,0.0344119668006897,0.4857798395377165,0.2650965926845706
stratified_normal,repetition_step,10,4,6,0.01986072361469269,0.029359295964241028,0.0,0.03336828947067261,0.01668412983417511,0.021978452801704407,-0.005294322967529297,-0.3076341688489662,-0.17151679874132383
stratified_normal,semantic_coverage_chain,10,4,6,0.9578165233135223,0.969460129737854,0.8917893171310425,0.9979101419448853,0.9679039865732193,0.9510915478070577,0.016812438766161564,0.4134149879076843,0.22254352801288335
stratified_normal,semantic_coverage_step,10,4,6,0.8929083526134491,0.9108454287052155,0.7910165786743164,0.97001713514328,0.9135555326938629,0.8791435658931732,0.0344119668006897,0.4857798395377165,0.2650965926845706
stratified_normal,roscoe_available_mean,10,4,6,0.9198639190196991,0.9374401211738587,0.8411206126213073,0.977514386177063,0.9373985886573791,0.9081741392612457,0.029224449396133445,0.5408814642659303,0.29233752520739814
stratified_normal,selected_roscoe_score,10,4,6,0.8929083526134491,0.9108454287052155,0.7910165786743164,0.97001713514328,0.9135555326938629,0.8791435658931732,0.0344119668006897,0.4857798395377165,0.2650965926845706
