sample_group,sample_rank_or_seed,source_run_id,batch,scenario_id,category,model_name,deterministic_grade,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,reason_selected
high_overlap_fail,1,8dd9d539-5113-456a-ad1b-2987c0bf85c9,V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,0.9328727126121521,0.9453781512605043,0.9478786425598541,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,2,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,0.9275230169296265,0.9453781512605043,0.941856856738825,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,3,5bde406e-bcbd-4d75-9974-030635a1f45a,V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,0.9269124269485474,0.9583333333333334,0.9604795407965007,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,4,6829aa30-fc54-4ffc-9602-72f72f6cd43d,V5,GR_CHIRP_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,0.9213840365409851,0.9517819706498951,0.9342505297932944,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,5,e393f274-ca90-4884-a598-72d0a544a214,V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,0.917246401309967,0.9651376146788991,0.9751084394461151,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,6,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde,V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,0.9105151295661926,0.9466666666666667,0.9373615439882558,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,7,13d804f3-30ad-428a-ad9d-7f48deb28505,V4,COS_DESITTER_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,0.9080313444137573,0.9387755102040817,0.9226676326597103,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,8,672d5859-333f-4a64-a9bf-0605af9f8987,V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,0.9066815376281738,0.9490022172949002,0.9566459294662385,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,9,d765a40d-fb04-4ffc-9811-18c108bbbc6d,V5,QM_RT_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,FAIL,0.9046378135681152,0.95,0.9347036354019523,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
high_overlap_fail,10,1c025782-1745-4b84-8da5-82a9a85a1fb9,V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,0.895334780216217,0.9473684210526315,0.9630184943393981,top_10_FAIL_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,1,5662b68d-3be1-4094-aa82-9419c9d43619,V5,CM_TOP_001,Classical Mechanics,Granite 4.1 8B,PASS,-0.19409604370594025,0.24506749740394598,0.41027430032129536,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,2,9fc843b5-b6bd-412e-9421-9525b76fb61a,V4,QM_AB_001,Quantum Mechanics,Granite 4.1 8B,PASS,-0.1721431463956833,0.3713450292397661,0.49175930154147585,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,3,660bac8a-431e-4e1e-a1b0-4327460893b8,V4,SR_TWIN_001,Special Relativity,Granite 4.1 8B,PASS,-0.16293056309223175,0.3548698167791707,0.5251869963193966,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,4,bfead667-22b7-4add-82bd-2984b62eeac1,V2,QM_BERRY_001,Quantum Mechanics,Granite 4.1 8B,PASS,-0.11703328043222427,0.25503355704697983,0.40644689979788484,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,5,c135ca95-a9ca-4c99-aecc-4d07f769530b,V4,STAT_LANDAUER_001,Statistical Mechanics,Granite 4.1 8B,PASS,-0.09831004589796066,0.5079365079365079,0.778637707637972,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,6,34cd051f-7d65-45c5-8ebf-a814fb4f5ed9,V3,COS_DL_001,Cosmology,Granite 4.1 8B,PASS,-0.0947883203625679,0.40425531914893614,0.5041505561930941,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,7,61b3ada8-c08a-4081-8967-4f6ba358fb6c,V5,QFT_YUKAWA_001,Quantum Field Theory,Granite 4.1 8B,PASS,-0.08787588030099869,0.38061465721040194,0.4522927007520598,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,8,d410a814-2896-4137-8dcd-4ea1e3fde257,V3,CM_APSIDAL_001,Classical Mechanics,Granite 4.1 8B,PASS,-0.08287616819143295,0.4086538461538462,0.5069660256725792,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,9,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed,V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,-0.07554593682289124,0.4016506189821183,0.5012381027805652,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
low_overlap_pass,10,491a2baf-b665-4ce6-837c-9a9d3c21f9ed,V4,COS_DESITTER_001,Cosmology,Gemma 4 31B IT,PASS,-0.06891496479511261,0.4243119266055046,0.668288906496323,bottom_10_PASS_by_bertscore_reasoning_only_v2_f1
stratified_normal,20260706,03445593-5565-4d84-808b-961d8347ef18,V2,SR_ROCKET_001,Special Relativity,Granite 4.1 8B,FAIL,-0.15660437941551208,0.29121338912133893,0.4193018197439331,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_1
stratified_normal,20260706,bea3064c-f5a0-4eb4-a402-ebfb00b71e9f,V3,QFT_CASIMIR_001,Quantum Field Theory,Mistral NeMo 12B,FAIL,0.5441675186157227,0.6677908937605397,0.5317119200857157,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_2
stratified_normal,20260706,6cf088ae-d374-4809-90c5-c1620139f384,V4,CM_KAPITZA_001,Classical Mechanics,Ministral 3 8B,FAIL,0.20275522768497467,0.53276955602537,0.5923069593194249,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_3
stratified_normal,20260706,6ecc80ca-aa29-4a0d-bf5b-af046104b848,V5,GR_CHIRP_001,General Relativity,Gemma 3 27B IT,FAIL,0.24734722077846527,0.5866261398176291,0.6124822806248651,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_4
stratified_normal,20260706,ba60237f-f38f-49a1-aff7-f714152bab19,V2,QI_TELEPORT_001,Quantum Information Theory,Llama 3.1 8B Instruct,PASS,0.8448333740234375,0.8888888888888888,0.9253538306349031,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_5
stratified_normal,20260706,81351b41-e944-416c-979d-7650f60107cb,V3,QFT_CASIMIR_001,Quantum Field Theory,Granite 4.1 8B,PASS,-0.04036323353648186,0.2820705176294073,0.44286624664115803,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_6
stratified_normal,20260706,8c78ea06-5052-4340-9c3f-f73b2ced036e,V4,CM_KAPITZA_001,Classical Mechanics,Gemma 4 31B IT,PASS,0.6335453987121582,0.6666666666666667,0.7346462517847631,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_7
stratified_normal,20260706,98458b1f-1823-40a8-b93e-9045fb1f1fca,V5,STAT_NEGT_001,Statistical Mechanics,Gemma 3 27B IT,PASS,0.6768942475318909,0.7165932452276066,0.5626789195521144,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_8
stratified_normal,20260706,ab92bfee-92d9-4fbc-b33c-4d25777badf5,V2,GR_ISCO_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,0.7856963872909546,0.8744394618834082,0.853205235089798,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_9
stratified_normal,20260706,637b75a5-6869-433d-b669-e89b15b2555e,V3,GR_GPS_001,General Relativity,Llama 3.1 8B Instruct,FAIL,-0.058501631021499634,0.2181818181818182,0.3811387081132647,deterministic_seed_20260706_stratified_by_grade_and_batch_pick_10
