metric,deterministic_pass_binary,selected_roscoe_score,roscoe_available_mean,informativeness_chain,informativeness_step,reasoning_alignment,repetition_step,semantic_coverage_chain,semantic_coverage_step,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,candidate_reference_length_ratio,candidate_reasoning_text_length_chars,reference_reasoning_text_length_chars
deterministic_pass_binary,1.0000000000000002,-0.48086230312297756,-0.4998365206489376,-0.5456408180263326,-0.4044924249318114,-0.48086230312297756,-0.3605047908003553,-0.5456408180263326,-0.48086230312297756,-0.6393599288697125,-0.6175741257196204,-0.5462259469698867,0.5848231824651765,0.508209055924373,-0.020000071686479128
selected_roscoe_score,-0.48086230312297756,1.0000000000000002,0.9898123902827474,0.9092910043533285,0.9421716746443928,1.0000000000000002,0.5979566458461262,0.9092910043533285,1.0000000000000002,0.9186632530815245,0.9330647664934645,0.8352034886532362,-0.7591141768678413,-0.8940326899555894,-0.07683075275742689
roscoe_available_mean,-0.4998365206489376,0.9898123902827474,1.0,0.9507820476975405,0.9508563222127043,0.9898123902827474,0.5638600980004151,0.9507820476975405,0.9898123902827474,0.9300780354960207,0.938915920755048,0.8576895099881567,-0.7346444123339365,-0.8651008020455788,-0.09369057886416361
informativeness_chain,-0.5456408180263326,0.9092910043533285,0.9507820476975405,1.0,0.8360112397274592,0.9092910043533285,0.4533688457679074,1.0,0.9092910043533285,0.8888308083535863,0.863239891377767,0.7755755077868612,-0.6844174714293357,-0.7529708788522662,0.005756190703747965
informativeness_step,-0.4044924249318114,0.9421716746443928,0.9508563222127043,0.8360112397274592,1.0,0.9421716746443928,0.5672829876478237,0.8360112397274592,0.9421716746443928,0.8821321264826939,0.9270312951307483,0.9034708016387951,-0.6481327481852396,-0.8393454023526548,-0.2609799511830408
reasoning_alignment,-0.48086230312297756,1.0000000000000002,0.9898123902827474,0.9092910043533285,0.9421716746443928,1.0000000000000002,0.5979566458461262,0.9092910043533285,1.0000000000000002,0.9186632530815245,0.9330647664934645,0.8352034886532362,-0.7591141768678413,-0.8940326899555894,-0.07683075275742689
repetition_step,-0.3605047908003553,0.5979566458461262,0.5638600980004151,0.4533688457679074,0.5672829876478237,0.5979566458461262,1.0,0.4533688457679074,0.5979566458461262,0.4666858821942476,0.5184212328378797,0.4455637769733668,-0.4377816247145678,-0.6033290331965843,-0.12613395082508141
semantic_coverage_chain,-0.5456408180263326,0.9092910043533285,0.9507820476975405,1.0,0.8360112397274592,0.9092910043533285,0.4533688457679074,1.0,0.9092910043533285,0.8888308083535863,0.863239891377767,0.7755755077868612,-0.6844174714293357,-0.7529708788522662,0.005756190703747965
semantic_coverage_step,-0.48086230312297756,1.0000000000000002,0.9898123902827474,0.9092910043533285,0.9421716746443928,1.0000000000000002,0.5979566458461262,0.9092910043533285,1.0000000000000002,0.9186632530815245,0.9330647664934645,0.8352034886532362,-0.7591141768678413,-0.8940326899555894,-0.07683075275742689
bertscore_reasoning_only_v2_f1,-0.6393599288697125,0.9186632530815245,0.9300780354960207,0.8888308083535863,0.8821321264826939,0.9186632530815245,0.4666858821942476,0.8888308083535863,0.9186632530815245,1.0,0.975387973368161,0.8954367445629182,-0.8188382809722662,-0.8447016431573525,-0.019748288966492507
rouge_l_f1,-0.6175741257196204,0.9330647664934645,0.938915920755048,0.863239891377767,0.9270312951307483,0.9330647664934645,0.5184212328378797,0.863239891377767,0.9330647664934645,0.975387973368161,1.0,0.9508186882918598,-0.8240992744167696,-0.8959637365514551,-0.12821272660402658
chrf_score,-0.5462259469698867,0.8352034886532362,0.8576895099881567,0.7755755077868612,0.9034708016387951,0.8352034886532362,0.4455637769733668,0.7755755077868612,0.8352034886532362,0.8954367445629182,0.9508186882918598,0.9999999999999999,-0.7053978568581063,-0.7947402951520083,-0.26793432536916056
candidate_reference_length_ratio,0.5848231824651765,-0.7591141768678413,-0.7346444123339365,-0.6844174714293357,-0.6481327481852396,-0.7591141768678413,-0.4377816247145678,-0.6844174714293357,-0.7591141768678413,-0.8188382809722662,-0.8240992744167696,-0.7053978568581063,1.0,0.8454383276247198,-0.298601579017675
candidate_reasoning_text_length_chars,0.508209055924373,-0.8940326899555894,-0.8651008020455788,-0.7529708788522662,-0.8393454023526548,-0.8940326899555894,-0.6033290331965843,-0.7529708788522662,-0.8940326899555894,-0.8447016431573525,-0.8959637365514551,-0.7947402951520083,0.8454383276247198,1.0,0.17453589894312546
reference_reasoning_text_length_chars,-0.020000071686479128,-0.07683075275742689,-0.09369057886416361,0.005756190703747965,-0.2609799511830408,-0.07683075275742689,-0.12613395082508141,0.005756190703747965,-0.07683075275742689,-0.019748288966492507,-0.12821272660402658,-0.26793432536916056,-0.298601579017675,0.17453589894312546,1.0000000000000002
