scenario_id,model_name,prompt_mode,raw_helper_status,first_layer_extractable,review_status,review_reason,final_answer_block_count,field_count,numeric_field_count,output_path_or_run_id
CM_TOP_001,Gemma 3 12B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,1b84f29d-7262-4118-892c-163d9f57dd84
CM_TOP_001,Gemma 3 27B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,cd5a9180-abc6-4daf-b94f-60c94887ce90
CM_TOP_001,Gemma 4 31B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,854903a7-b5b2-4b1e-b220-26c3c840d410
CM_TOP_001,Granite 4.1 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,5662b68d-3be1-4094-aa82-9419c9d43619
CM_TOP_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,09da2552-f5c9-4b6d-a531-830e1a95ff6b
CM_TOP_001,Ministral 3 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,4e577879-1904-4de8-bf8a-9b6ac84bd4a2
CM_TOP_001,Mistral NeMo 12B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,9cabff0f-1401-4d81-a9ab-0c356b747793
CM_TOP_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,eaf76ad0-3478-4749-b146-8154a4f1230d
COS_AGE_001,Gemma 3 12B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,0230819a-56b1-4d17-86d3-5f6eca9cc205
COS_AGE_001,Gemma 3 27B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,672d5859-333f-4a64-a9bf-0605af9f8987
COS_AGE_001,Gemma 4 31B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,2c993c72-2e8e-41bc-a7d5-788e67e106ce
COS_AGE_001,Granite 4.1 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,794326a8-04c8-49f0-b4e8-231b02e63bd8
COS_AGE_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,2,eda681ea-d13b-404a-a57e-8235c4fdbc8c
COS_AGE_001,Ministral 3 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,808620c4-f820-4f45-9bed-e9794424c240
COS_AGE_001,Mistral NeMo 12B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,5f80e95a-cfa7-40e3-8d99-042b87848d45
COS_AGE_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde
GR_CHIRP_001,Gemma 3 12B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,4e501fd1-d63b-49da-8762-bb963ff46a61
GR_CHIRP_001,Gemma 3 27B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,6ecc80ca-aa29-4a0d-bf5b-af046104b848
GR_CHIRP_001,Gemma 4 31B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,d1f4f249-9011-47a1-bde1-4890e97d7e39
GR_CHIRP_001,Granite 4.1 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,2,3,3,faa97c59-e8d6-45c9-9b0f-ead2481fab1a
GR_CHIRP_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,3d984907-45c2-4187-9ae5-11c26b7157d7
GR_CHIRP_001,Ministral 3 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,d6939d4f-3d1a-4d7a-b2d1-77a6c8cfd9cd
GR_CHIRP_001,Mistral NeMo 12B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,8c115d74-c955-4798-9fee-364d3e420629
GR_CHIRP_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,6829aa30-fc54-4ffc-9602-72f72f6cd43d
QFT_YUKAWA_001,Gemma 3 12B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,3733c22f-f895-4fe5-9154-889f49fc2a72
QFT_YUKAWA_001,Gemma 3 27B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,7e7d0afd-32d2-4f48-b6cd-ecc7bc6e7627
QFT_YUKAWA_001,Gemma 4 31B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,910216b0-43d4-41af-94f0-5fa74f3f2b66
QFT_YUKAWA_001,Granite 4.1 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,61b3ada8-c08a-4081-8967-4f6ba358fb6c
QFT_YUKAWA_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,613764e6-bc45-4e8d-9e78-630521ca2a16
QFT_YUKAWA_001,Ministral 3 8B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d
QFT_YUKAWA_001,Mistral NeMo 12B,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,68d0c843-5e37-4256-a9d7-76a6d8498500
QFT_YUKAWA_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,4d767961-f12d-44d9-b1b8-1038e181b506
QI_CLONE_001,Gemma 3 12B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,46f28589-617c-4397-9153-8946229945fd
QI_CLONE_001,Gemma 3 27B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,3,94d1a3ae-d1d8-4d8b-8970-f8d9afe37b06
QI_CLONE_001,Gemma 4 31B IT,structured_prompt_pilot_v5,OK,True,CLEAN,clean_first_layer_ok,1,3,0,2269ab6d-3ceb-455f-a66f-7fe8faa2eb8b
