scenario_id,category,row_count,pass_count,fail_count,mean_rouge_l_f1,median_rouge_l_f1,min_rouge_l_f1,max_rouge_l_f1,PASS_mean_rouge_l_f1,FAIL_mean_rouge_l_f1,PASS_minus_FAIL_mean_gap,simple_effect_size
CM_APSIDAL_001,Classical Mechanics,8,3,5,0.8248081655694345,0.9053898482469911,0.4086538461538462,0.9679012345679011,0.7760037971337863,0.8540907866308233,-0.07808698949703696,-0.39412569890755844
CM_FOUCAULT_001,Classical Mechanics,8,7,1,0.7856887328356601,0.9183712769599452,0.45622119815668205,0.9448818897637795,0.765196572059652,0.9291338582677166,-0.16393728620806458,-1.1193730371759745
CM_KAPITZA_001,Classical Mechanics,8,1,7,0.7566296004028565,0.8622311442500716,0.35419847328244275,0.9374999999999999,0.6666666666666667,0.7694814480794552,-0.10281478141278844,-0.6812515184358288
CM_TOP_001,Classical Mechanics,8,6,2,0.8524943213784653,0.9396081349206349,0.24506749740394598,0.9627659574468086,0.8329553914675834,0.9111111111111111,-0.07815571964352774,-0.42011783307770983
COS_AGE_001,Cosmology,8,1,7,0.7895197615799516,0.8989098532494759,0.2792792792792793,0.9688888888888889,0.9688888888888889,0.7638956005358177,0.20499328835307118,1.1994857608711915
COS_CMB_001,Cosmology,8,5,3,0.8343314374404174,0.9144164759725402,0.4016506189821183,0.9583333333333334,0.7757087010266874,0.9320359981299673,-0.15632729710327986,-1.075123831331469
COS_DESITTER_001,Cosmology,8,1,7,0.6290384465002615,0.627498388136686,0.28404669260700394,0.9387755102040817,0.4243119266055046,0.6582850921995125,-0.23397316559400788,-1.3094185080956298
COS_DL_001,Cosmology,8,5,3,0.8335387010996028,0.9119936074958679,0.40425531914893614,0.9723502304147464,0.8286895596706193,0.841620603481242,-0.012931043810622711,-0.07897216833910331
GR_CHIRP_001,General Relativity,8,0,8,0.7252882804120617,0.8074716127207338,0.2979423868312757,0.9517819706498951,,0.7252882804120617,,
GR_GPS_001,General Relativity,8,0,8,0.521152778697697,0.5498967810994724,0.2181818181818182,0.7204968944099379,,0.521152778697697,,
GR_ISCO_001,General Relativity,8,0,8,0.6866815696080032,0.8190379127598859,0.2487122884473878,0.9264069264069263,,0.6866815696080032,,
GR_PERI_001,General Relativity,8,1,7,0.7114967530216614,0.8000432560416169,0.12168344007319305,0.9214659685863874,0.6965376782077394,0.7136337637093646,-0.017096085501625224,-0.09000739512364159
QFT_CASIMIR_001,Quantum Field Theory,8,1,7,0.594025954887407,0.6400159957344708,0.2820705176294073,0.6734348561759729,0.2820705176294073,0.6385910173528355,-0.3565204997234282,-16.06459371472803
QFT_G2_001,Quantum Field Theory,8,3,5,0.7388394710308606,0.7402665741463555,0.40930232558139534,0.9378531073446328,0.6619452884044271,0.7849759806067206,-0.12303069220229346,-0.7834536084227062
QFT_UNRUH_001,Quantum Field Theory,7,2,5,0.8287532370607181,0.8459869848156182,0.6082949308755761,0.9411764705882353,0.8604517830524022,0.8160738186640444,0.04437796438835784,0.4713854400243299
QFT_YUKAWA_001,Quantum Field Theory,8,7,1,0.8746022880419305,0.9471861471861471,0.38061465721040194,0.9653679653679653,0.8693305542223833,0.911504424778761,-0.04217387055637778,-0.29787960056299834
QI_CLONE_001,Quantum Information Theory,8,8,0,0.7954988794285023,0.9011786103512736,0.36070853462157804,0.9479166666666665,0.7954988794285023,,,
QI_HOLEVO_001,Quantum Information Theory,8,2,6,0.7525700643207704,0.8302260184892264,0.2602620087336245,0.9458333333333334,0.861928390390176,0.7161172889643019,0.14581110142587406,0.855550744678075
QI_TELEPORT_001,Quantum Information Theory,8,6,2,0.869246347482898,0.9276814792980237,0.4584837545126353,0.9510869565217392,0.8497679702111894,0.9276814792980237,-0.07791350908683425,-0.6235712270499152
QI_WERNER_001,Quantum Information Theory,8,6,2,0.8942406205078638,0.9454427925016161,0.5363636363636364,0.963963963963964,0.8834375722778349,0.9266497651979504,-0.043212192920115466,-0.388336851656283
QM_AB_001,Quantum Mechanics,8,4,4,0.8523406282784517,0.9286358375279267,0.3713450292397661,0.9432989690721649,0.7868213577383409,0.9178598988185624,-0.1310385410802215,-0.7661587466076547
QM_BERRY_001,Quantum Mechanics,8,8,0,0.8563875802441282,0.9366057862750063,0.25503355704697983,0.9615384615384615,0.8563875802441282,,,
QM_RT_001,Quantum Mechanics,8,1,7,0.8172490839437613,0.9425547220224026,0.25205930807248766,0.95,0.95,0.7982846673642987,0.15171533263570125,0.8619281813739778
QM_TUNNEL_001,Quantum Mechanics,7,1,6,0.8593288292940728,0.84472049689441,0.8196721311475409,0.9082774049217002,0.9041095890410958,0.8518653693362357,0.05224421970486015,2.417163451391382
SR_BELL_001,Special Relativity,8,8,0,0.8531759039837135,0.9173259047208627,0.43687943262411344,0.971563981042654,0.8531759039837135,,,
SR_FIZEAU_001,Special Relativity,8,8,0,0.8420728370592168,0.9486280487804879,0.34823529411764703,0.9626556016597511,0.8420728370592168,,,
SR_ROCKET_001,Special Relativity,8,1,7,0.7622432906241753,0.9171335200746966,0.29121338912133893,0.9453781512605043,0.9453781512605043,0.7360811676761283,0.20929698358437598,1.1454966583221495
SR_TWIN_001,Special Relativity,8,6,2,0.8704228627884897,0.9400299116627531,0.3548698167791707,0.9798165137614679,0.846007358184849,0.9436693765994116,-0.09766201841456268,-0.6186821909020371
STAT_BEC_001,Statistical Mechanics,6,0,6,0.7649097285959771,0.8107889949977263,0.3882063882063882,0.9267515923566878,,0.7649097285959771,,
STAT_ISING_001,Statistical Mechanics,8,7,1,0.8687685495522266,0.9256269592476489,0.605607476635514,0.9504504504504505,0.8584627579298175,0.9409090909090909,-0.0824463329792734,-1.0030727130928887
STAT_LANDAUER_001,Statistical Mechanics,8,2,6,0.8233978900575355,0.902786758049916,0.5079365079365079,0.9473684210526315,0.6962286962286963,0.8657876213338153,-0.16955892510511894,-1.073662335226531
STAT_NEGT_001,Statistical Mechanics,8,6,2,0.6171738823936366,0.6589572351767474,0.28544949026876737,0.7195301027900146,0.6004668196845565,0.667295070520877,-0.06682825083632049,-0.5995183793314881
